Q.no.  ,                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
       ,                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
1      ,Which one of the following river flows between vindhyan and satpura ranges                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Narmada                 B. Mahanadi               C. Son            D. Netravati                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                         ,
2      ,The Centerl Rice Research Station is situated in                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Chennai                   B. Cuttack                   C. Bangalore      D. Quilon                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                         ,
3      ,Who among the following wrote Sanskrit grammar                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Kalidasa                    B. Charak                   C. Panini             D. Aryabhatt                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
4      ,Which among the following headstreamsmeets the Ganges in last                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Alaknanda              B. Pindar                       C. Mandakini       D. Bhagirathi                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
5      ,The metal whose salts are sensitive to light is                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Zinc                            B. Silver                          C. Copper            D. Aluminum                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
6      ,Patanjali is well known for the compilation of                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Yoga Sutra                  B. Panchatantra          C. Brahma Sutra           D. Ayurveda                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
7      ,River Luni originates near Pushkar and drains into which one of the following                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Rann of Kachchh        B. Arabian Sea            C.Gulf of Cambay      D. Lake Sambhar                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                         ,
8      ,Which one of the following rivers originates in Brahmagiri range of Western Ghats                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Pennar                        B. Cauvery                        C. Krishna                D. Tapti                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                         ,
9      ,The country that has the highest in Barlry Production                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. China                             B. India                             C. Russia                  D. France                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                         ,
10     ,Tsunamis are not caused by                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Hurricanes                    B. Earthquakes               C. Undersea Landslides           D. Volcanic eruptions                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
11     ,Chambal river is a part of                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Sabarmati basin           B. Ganga basin               C. Narmada basin                     D. Godavari basin                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                         ,
12     ,D.D.T. was invented by                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Mosley                              B.Rudolf                          C.Karl Benz                         D. Dalton                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
13     ,Volcanic eruption do not occur in the                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Baltic Sea                          B. Black sea                    C. Caribbean sea                 D. Caspian sea                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
14     ,Indus river originates in                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Kinnaur                            B. Ladakh                           C. Nepal                                D. Tibet                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
15     ,The hottest planet in the solar system                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Mercury                             B. Venus                            C. Mars                                D. Jupiter                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                         ,
16     ,With which of the following rivers does Chambal river merge                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Banas                             B. Ganga                                   C.Narmada                        D. Yamuna                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
17     ,Where was the electricity supply first introduced in India                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                         ,
option ,A. Mumbai                        B. Dehradun                           C. Darjeeling                      D. Chennai                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                         ,
18     ,"Amravati ,Bhavani, Hemavati and Kabini are tributaries of which one of the following rivers"                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                         ,
