Question,Correct Answer,Option A,Option B,Option C,Option D
First International Peace Congress was held in London in,1843 AD,1564 AD,1798 AD,1843 AD,1901 AD
Hockey was introduced in the Asian Games in,1958 in Tokyo,1966 in Bangkok,1958 in Tokyo,1962 in Jakarta,1970 in Bangkok
Coral reefs in India can be found in,Rameshwaram,Waltair,Trivandrum,the coast of Orissa,Rameshwaram
Firdausi was,Both option A and B,poet,well known for his epic ‘Shahnama’,Both option A and B,None of the above
"Golden Temple, Amritsar is India’s",largest Gurdwara,largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above
G-15 is an economic grouping of,Third World Nations,First World Nations,Second World Nations,Third World Nations,Fourth World Nations
Himalayan Mountaineering Institute is at,Darjeeling,Dispur,Marmago,Dehradun,Darjeeling
What is the pH value of the human body?, 7.0 to 7.8, 9.2 to 9.8, 7.0 to 7.8, 6.1 to 6.3, 5.4 to 5.6
"Which of the following are called ""Key Industrial animals""?", Primary consumers, Producers, Tertiary consumers, Primary consumers, None of these
Elections to panchayats in state are regulated by, State Election Commission,Gram panchayat, Nagar Nigam,t, State Election Commission
"Which of the following Himalayan regions is called ""Shivalik's""?", Outer Himalayas, Upper Himalayas,Lower Himalayas, Outer Himalayas,Inner Himalayas
Forming of Association in India is, Fundamental Right., Legal Right, Illegal Right, Natural Right, Fundamental Right.
The Samkhya School of Philosophy was founded by, Kapila,Gautam Buddha,Mahipala, Gopala, Kapila
Pustaz grasslands are situated at?,Hungary,South Africa, China,Hungary,USA
Right to emergency medical aid is a,Fundamental Right., Legal Right, Illegal Right,Constitutional Right,Fundamental Right.
Chelaiya Samiti is related to which of the following?,Tax reforms, Banking sector,Insurance sector,Health Sector,Tax reforms
Which of the given devices is used for counting blood cells?, Hemocytometer,Hmelethometer,Spyscometer, Hemocytometer,Hamosytometer
Which of the given compounds is used to make fireproof clothing?, Aluminum Sulphate, Aluminum chloride, Aluminum Sulphate, Magnesium Chloride,Magnesium Sulphate
Which of the given cities is located on the bank of river Ganga?,Patna,Patna,Gwalior, Bhopal,Mathura
The driving force of an ecosystem is, Solar Energy,Carbon Mono oxide, Biogas, Solar Energy,Carbon dioxide
Which of the given is a disease caused by protozoa?,Kala-azar,Cancer,Typhoid,Kala-azar,Chicken Pox
"The term ""Samantas"" is usually seen in the medieval history of India about",Big Landlords,Artists,Big Landlords,Servants,Queens
Which of the given coins was known as 'Karshapana' in ancient literature?,Punch marked coins,Gold coins,Bronze coins,Punch marked coins,Iron coins
Digestion of food in human beings begins in which part of the alimentary canal?,Mouth,Liver,Kidney,Mouth,Large intestine
"When the metal reacts with dilute acid, which gas is formed?",Hydrogen,Carbon Dioxide,Helium,Neon,Hydrogen
What is the name of the lower layer of the Earth's three concentric layers?,SIMA,SAIL,SIMA,SAMA,SIAL
The term 'barani' refers to in the context of agriculture?,Rainfed farming,Dryland farming,Mixed farming,Rainfed farming,None of these
Which canyon is known as 'The Grand Canyon of India' or The Arizona of India?,Gandikota Canyon,Gandikota Canyon, Colca Canyon,Copper Canyon,Grand Canyon
Which of the given vitamin is a water-soluble vitamin?,Vitamin B,Vitamin A,Vitamin B,Vitamin K,Vitamin D
Which of the following is responsible for nitrogen fixation?, Bacteria,Fungus, Bacteria, Virus,Insects
Who among the following decides if an individual Bill is a Money Bill or not?, Speaker of Lok Sabha,Prime Minister,President,Member of Lok Sabha, Speaker of Lok Sabha
"""Rashtriya Swasthya Bima Yojana"" Launched under Social Security Act 2008 Involves",Only Unorganized sector workers,Only rural workers,Only social workers,Only Unorganized sector workers,All of the above
Which of the given vitamins is responsible for blood clotting?,Vitamin K,Vitamin A,Vitamin B,Vitamin K,Vitamin D
Who is the author of the book titled 'Tipane Kashmirchi'?,Arun Karmakar,Arun Karmakar,Arun Jaitley,Arun Sharma,Manoj Sinha
Nepenthes Khasiana an endangered and rare plant found in,Meghalaya,Bihar,Meghalaya,Orrisa,Madhya Pradesh
Which of the given bio transformations gives maximum energy to the human body?,ADP-ATP, AMP-ADP,ADP-ATP,ACP-AMP,AMP-ATP
 The hero of the Malvikagnimitram of Kalidas is associated with which of the given dynasties?,The Sunga Dynasty,The Sunga Dynasty,Pallava Dynasty, Magadha Dynasty, Vakataka Dynasty
Where is Lomus Rishi Cave located?,Gaya,Nasik,Gaya,Varanasi,Bhubaneswar
The tropic of cancer does pass through which state of India?,Madhya Pradesh,Uttar Pradesh,Madhya Pradesh,Bihar,Andhra Pradesh
Who among the given had translated the Upanishads from Sanskrit to Persian,1. Dara Shukoh,1. Dara Shukoh,1. Babar,1. Mirza Galib,1. Abul Fazal
Musi is a tributary of which of the given rivers?,Krishna,Ganga,Krishna,1. Kaveri,1. Chambal
Which of the given shows the density gradient in a body of water?,1. Pycnocline,1. Pycnocline,1. Picnoclyne,1. Econoline,1. Pyctolene
How many goals are added in Sustainable Developments Goals adopted by the UN?,1. 17,1. 18,1. 17,1. 20,1. 21
Which of the given Mughal emperors had introduced the Mansabdari system?,1. Babar,1. Shahjahan,1. Babar,1. Akbar,1. Aurangzeb
Which of the given industries uses limestone as a raw material?,1. Cement,1. Paper,1. Cement,1. Textile,1. Leather
Which of the following is a scalar quantity?,1. Pressure,1. Force,1. Pressure,1. Momentum,1. Acceleration
Who among the following nations is not a member of BRICS?,1. Japan,1. India,1. China,1. Russia,1. Japan
The tomb of a Sufi Saint is known as,1. Dargah,1. Idgah,1. Masjid,1. Dargah,1. None of these
 Which of the given clouds are responsible for the formation of the Sun's halo?,1. Cirrus clouds,1. Cumulus clouds,1. Cirrus clouds,1. Altostratus clouds,1. Cumulus clouds
The Instrument Wind vane is used for measuring.,1. Direction of Wind,Atmospheric pressure,1. Velocity of Air,1. Direction of Wind,1. Air pressure
Salt is obtained from sea water through which process.,1. Evaporation,1. Adsorption,1. Evaporation,1. Sublimation,1. Absorption
The International Literacy Day is observed on,9/8/2024,8-Sep,28-Nov,2-May,22-Sep
Bahubali festival is related to,Jainism,Islam,Hinduism,Buddhism,Jainism
"The language of Lakshadweep. a Union Territory of India, is",Malayalam,Tamil,Hindi,Malayalam,Telugu
Which day is observed as the World Standards  Day?,10/14/2024,26-Jun,14-Oct,15-Nov,2-Dec
September 27 is celebrated every year as,World Tourism Day,Teachers' Day,National Integration Day,World Tourism Day,International Literacy Day
Who is the author of 'Manas Ka-Hans' ?,Amrit Lal Nagar,Khushwant Singh,Prem Chand,Jayashankar Prasad,Amrit Lal Nagar
The death anniversary of which of the following leaders is observed as Martyrs' Day?,Mahatma Oandhi,Smt. Indira Gandhi,PI. Jawaharlal Nehru,Mahatma Oandhi,Lal Bahadur Shastri
"Who is the author of the epic 'Meghdoot""?",Kalidas,Vishakadatta,Valmiki,Banabhatta,Kalidas
Good Friday' is observed to commemorate the event of,crucification 'of Jesus Christ,birth of Jesus Christ,birth of' St. Peter,crucification 'of Jesus Christ,rebirth of Jesus Christ
Who is the author of the book 'Amrit Ki Ore'?,Narendra Mohan,Mukesh Kumar,Narendra Mohan,Upendra Nath,Nirad C. Choudhary
Which of the following is observed as Sports Day every year?,29th August,22nd April,26th  july,29th August,2nd October
World Health Day is observed on,4/7/2024,7-Apr,6-Mar,Mat I5,28-Apr
Pongal is a popular festival of which state?,Tamil Nadu,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh
The first month of the Indian national calendar is,Chaitra,Magha,Chaitra,Ashadha,Vaishakha
Ghototkach in Mahabharat was the son of,Bhima,Duryodhana,Arjuna,Yudhishthir,Bhima
"Which of the following Muslim festivals is based on the ""Holy Quran"" ?",Id -ul-Zuha,Id -ul-Zuha,Id -ul-Fitr,Bakri-id,Moharram
Van Mahotsav was started by,"K.M, Munshi",Maharshi Karve,Bal Gangadhar Tiiak,"K.M, Munshi",Sanjay Gandhi
Which of the following is not a dance from Kerala?,Yaksha Gana,Kathakali,Mohiniattam,Ottan Thullal,Yaksha Gana
Rath Yatra is famous festival at,Puri,Ayodhya,Mathura,Dwaraka,Puri
The festival of Nabanna is celebrated predominatly in,Orissa,Andhra Pradesh,Rajasthan,Kamataka,Orissa
Onam is the main festival of,Kerala,Tamil Nadu,Karnataka,Andhra Pradesh,Kerala
The Lalit Kala Academy is devoted to the promotion of,Fine Arts,Dance & Drama,Fine Arts,Literature,Music
Which one of the following is essentially a solo dance? ,Mohiniattam,Kuchipudi,Kathak,Manipuri,Mohiniattam
Which of the followiing is a folk dance of India?,Garba,Kathakali,Mohiniattam,Garba,Manipuri
Central Salt and Marine Chemicals Research Institute is located at,Panaji,Ahmedabad,Bhavnagar.,Gandhinagar,Panaji
The Krithi system was perfected and Carnatic music was given by,Swati Tirunal,Arunagirinathan,Purandaradasa,Shyama Shastri,Swati Tirunal
Nandyal is situated in,Karnataka,Karnataka,AndhraPradesh,Maharashtra,Madhya Pradesh
Kalarippayat isthe martial art  of the State of,Kerala,Madhya Pradesh,Mizoram,Nagaland,Kerala
Which city of India was first of all affected by plague?,Surat,Jaipur,Bombay,Surat,Kanpur
Dogri is spoken in which of the following states ,Jammu & Kashmir,Bihar,Orissa,Assam,Jammu & Kashmir
"Industrial Toxicology- Research Centre, is situated in which of the following states? .",U.P,U.P,Gujarat,M.P,Bihar
The festival celebrated to commemorate the ordeal of Islamics is,Id -ul- Zuha,Id -ul- Zuha,Moharram,Id-i- Milad,Id -ul-Fitr
The Komark Temple is dedicated to,Sun- God,Vishnu,Shiva,Krishna,Sun- God
Meenakshi Temple is in,Madurai,Puri,Trivandrum,Chennai,Madurai
The dates of National Calendar Permanently correspond with the,Georgian Calendar,Vikrami Calendar,Mohammadan Calendar,Georgian Calendar,None of these
Which of the-following is wrongly matched?,Charminar -Lucknow,Qutab Minar- Delhi,Taj Mahal -Agra,Ajanta Caves -Maharashtra,Charminar -Lucknow
The 227 year old 'Nawab Saheb Ki Haveli' is Iocated at,Jaipur,Hyderabad,Jaipur,New Delhi,Agra
Which of the following years was celebrated as the World Communication Year?,6/5/1905,1981,1983,1985,1987
 Which Mughal ruler was the most secular in outlook?,Akbar,Babar,Humayun,Akbar,Aurangzeb
Which Mughal emperor gave land for the construction of the Golden Temple at Amiritsar?,Akbar,Akbar,Jehangir,Shahjehan,Aurangzeb
"Before the rise of Ranjit Singh, Punjab was under the control of",Maratha commanders,Maratha commanders, raider groups,tribal chiefs,Sikh Misls
Chand Bibi who ceded Berar to Akbar was the ruler of,Ahmednagar,Golconda,Bahmani, Bijapur,Ahmednagar
Mansabdari was introduced in India by,Akbar,Akbar,Humayun,Shahjehan,Babar
"In 1809, Maharaja Ranjit Singh signed a treaty with",East India Company,East India Company,Shah Alam, King of Kashmir,Ruler of Sindh
